NAME	TITLE	SCORE	
VSIG1	n/a	0.967454	
PGP	n/a	0.96720386	
C1orf77	n/a	0.96711624	
CHAC1	n/a	0.96636736	
CHAF1B	n/a	0.9658925	
HSPBP1	n/a	0.96582144	
NTSR1	n/a	0.9647286	
CDK5	n/a	0.9645489	
AATF	n/a	0.9640641	
KDELR1	n/a	0.96386784	
SYN1	n/a	0.9633501	
ZNF335	n/a	0.9631642	
KIF18B	n/a	0.96306866	
DGCR10	n/a	0.96286887	
H2AFX	n/a	0.9628405	
PDCD11	n/a	0.96212554	
YIPF2	n/a	0.9618223	
ATF5	n/a	0.96151483	
MAPKAPK5	n/a	0.9613203	
SLC39A1	n/a	0.9612078	
NUP155	n/a	0.9607433	
PMF1	n/a	0.96067595	
NELL2	n/a	0.9602938	
CRB3	n/a	0.9601071	
OTUB1	n/a	0.9600378	
LEMD2	n/a	0.95976	
TFRC	n/a	0.9597585	
GEN1	n/a	0.959316	
SH3PXD2A	n/a	0.95920736	
RNF34	n/a	0.9590085	
ORAI2	n/a	0.95895994	
SOLH	n/a	0.95893085	
CHD4	n/a	0.9588282	
TH1L	n/a	0.9586381	
ZBED4	n/a	0.9585686	
NIPSNAP1	n/a	0.9576837	
DUS4L	n/a	0.95719343	
TM6SF2	n/a	0.95685935	
CBX2	n/a	0.95670646	
CLSTN3	n/a	0.95663875	
RARS	n/a	0.9566026	
GPC2	n/a	0.9563558	
WNT3A	n/a	0.956354	
KIAA1199	n/a	0.9563054	
RAD51	n/a	0.95554304	
ACOT8	n/a	0.9554332	
SHC1	n/a	0.9538423	
AEN	n/a	0.9524989	
EZH2	n/a	0.9523425	
UBL4A	n/a	0.95191395	
LPCAT1	n/a	0.9518251	
ANLN	n/a	0.95161355	
CENPO	n/a	0.95081985	
CCDC142	n/a	0.9504675	
LENEP	n/a	0.94975364	
BUB3	n/a	0.9495916	
CALR	n/a	0.94880617	
SLC25A44	n/a	0.9484629	
MFSD10	n/a	0.9480456	
HIST1H4C	n/a	0.9478723	
C1orf96	n/a	0.9477728	
BOP1	n/a	0.94721425	
LOC100144603	n/a	0.9467044	
ESPN	n/a	0.9465774	
RRM2	n/a	0.9460164	
RAB3D	n/a	0.9452205	
CBX3	n/a	0.94518083	
AIFM3	n/a	0.9450196	
TUBB3	n/a	0.9448405	
HELLS	n/a	0.9447066	
ARHGEF19	n/a	0.94454664	
KIF26B	n/a	0.94423133	
SPOCD1	n/a	0.94413644	
